uniprot_id,mb_n_zn,mb_n_cys_coordinating,mb_coord_per_zn,mb_mean_zn_s_dist,mb_std_zn_s_dist,mb_mean_szns_angle,mb_tetrahedral_dev,mb_mean_zn_zn_dist,mb_min_zn_zn_dist,mb_rg_zn_cluster,mb_rg_protein,mb_metal_protein_offset,mb_n_residues
A0A059P5D6,6,15,2.5,2.3668,0.2972,110.587,1.117,8.4972,2.936,6.1718,9.8715,1.7456,58
A0A096Y4K7,6,9,1.5,2.2841,0.3294,115.956,6.486,8.8821,2.4087,6.4969,10.5844,1.043,58
A0A0A6Z9S9,7,17,2.429,2.227,0.236,112.741,3.271,13.23,2.6576,10.1527,12.2773,0.9926,65
A0A0A6Z9Y7,6,15,2.5,2.3606,0.2492,109.207,0.263,8.3571,2.8768,6.0898,10.5061,0.8817,62
A0A0A7P9J9,6,15,2.5,2.3627,0.2256,109.669,0.199,9.4445,2.7263,6.9608,10.2732,1.2751,59
A0A0B6VM71,7,19,2.714,2.2843,0.2665,114.654,5.184,10.8247,3.1534,8.2053,11.235,2.2431,60
A0A0C6WJR4,7,19,2.714,2.3017,0.3083,111.252,1.782,12.2465,2.8038,9.4493,12.5675,1.4733,73
A0A0E3TKA8,6,17,2.833,2.3263,0.3436,108.404,1.066,8.9377,3.0223,6.5121,9.8984,1.7286,58
A0A0K1D9V6,6,14,2.333,2.334,0.2817,104.218,5.252,7.6816,2.5015,5.5358,10.0079,1.5458,59
A0A0K2D4S0,10,17,1.7,2.2404,0.2278,116.935,7.465,17.0353,2.4929,13.2822,15.435,1.131,107
A0A0U3VAE5,7,18,2.571,2.2734,0.264,111.236,1.766,10.6907,2.883,8.0866,11.9069,0.8614,76
A0A140D6S6,7,19,2.714,2.4303,0.2334,107.37,2.1,12.3181,2.931,9.5008,12.1231,2.1873,62
A0A140D6S7,7,15,2.143,2.3668,0.2394,111.86,2.39,11.8841,2.8139,9.1142,11.9393,1.6057,62
A0A142LXF3,6,14,2.333,2.4816,0.2458,107.845,1.625,11.4749,2.8895,8.5139,11.7312,2.5869,69
A0A166K203,7,18,2.571,2.2873,0.316,121.695,12.225,10.6703,2.6966,8.0657,11.3896,1.6556,60
A0A172EAK5,7,17,2.429,2.3145,0.2334,113.986,4.516,10.9472,2.7214,8.2823,11.583,1.8083,60
A0A185L2K1,7,16,2.286,2.3148,0.2602,111.947,2.477,11.2239,3.1511,8.5092,11.7714,1.6991,60
A0A1B1RV98,4,8,2.0,2.3229,0.2395,118.208,8.738,3.8589,2.6939,2.4312,8.7557,1.6776,43
A0A1B1RVB0,7,13,1.857,2.4625,0.2398,97.885,11.585,10.457,2.5527,7.9414,11.6136,1.7081,75
